,Time,Open,High,Low,Close,Volume
653,2020-09-02 02:00:00,11921.97,11954.57,11160.1,11388.54,87221.845602
654,2020-09-03 02:00:00,11388.54,11462.6,9960.8,10140.85,121950.106015
655,2020-09-04 02:00:00,10138.29,10627.05,9875.5,10446.25,92733.599113
656,2020-09-05 02:00:00,10446.25,10565.68,9825,10166.69,90001.605568
657,2020-09-06 02:00:00,10166.69,10347.14,9994.86,10256.2,56368.788815
658,2020-09-07 02:00:00,10255.89,10410.75,9875,10373.44,62620.230676
659,2020-09-08 02:00:00,10373.45,10438,9850,10126.65,73491.878418
660,2020-09-09 02:00:00,10126.66,10343,9981.01,10219.2,49347.113776
661,2020-09-10 02:00:00,10219.29,10483.35,10070.83,10336.87,58253.75375
662,2020-09-11 02:00:00,10336.86,10397.6,10200,10387.89,43830.254467
663,2020-09-12 02:00:00,10387.89,10477.97,10269.25,10440.92,35379.153096
664,2020-09-13 02:00:00,10440.67,10580.11,10200,10332.83,43837.609865
665,2020-09-14 02:00:00,10332.84,10750,10212.34,10671.77,67059.291361
666,2020-09-15 02:00:00,10671.77,10930.04,10606.48,10785.31,61822.452786
667,2020-09-16 02:00:00,10785.23,11093,10661.22,10954.01,64991.51244
668,2020-09-17 02:00:00,10954.01,11045.46,10745.83,10939.99,55601.614529
669,2020-09-18 02:00:00,10940,11038.03,10812.84,10933.39,47266.728275
670,2020-09-19 02:00:00,10933.4,11179.79,10887.37,11080.65,38440.036858
671,2020-09-20 02:00:00,11080.64,11080.64,10723,10920.28,39157.922565
672,2020-09-21 02:00:00,10920.28,10988.86,10296.35,10417.22,70683.431179
673,2020-09-22 02:00:00,10417.22,10572.71,10353,10529.61,43991.235476
674,2020-09-23 02:00:00,10529.61,10537.15,10136.82,10241.46,51876.568079
675,2020-09-24 02:00:00,10241.46,10795.24,10190.93,10736.32,57676.619427
676,2020-09-25 02:00:00,10736.33,10760.53,10556.24,10686.67,48101.117008
677,2020-09-26 02:00:00,10686.57,10820.94,10644.68,10728.6,28420.836659
678,2020-09-27 02:00:00,10728.59,10799,10594.82,10774.25,30549.483253
679,2020-09-28 02:00:00,10774.26,10950,10626,10696.12,50095.251734
680,2020-09-29 02:00:00,10696.11,10867.54,10635.87,10840.48,41874.898399
681,2020-09-30 02:00:00,10840.58,10849.34,10665.13,10776.59,39596.027322
682,2020-10-01 02:00:00,10776.59,10920,10437,10619.13,60866.332893
683,2020-10-02 02:00:00,10619.13,10664.64,10374,10570.4,50130.393705
684,2020-10-03 02:00:00,10570.4,10603.56,10496.46,10542.06,22298.221341
685,2020-10-04 02:00:00,10542.07,10696.87,10517.87,10666.63,23212.001595
686,2020-10-05 02:00:00,10666.62,10798,10615.64,10792.21,34025.761653
687,2020-10-06 02:00:00,10792.2,10800,10525,10599.66,48674.740471
688,2020-10-07 02:00:00,10599.65,10681.87,10546.17,10666.39,32811.990279
689,2020-10-08 02:00:00,10666.4,10950,10530.41,10925.57,51959.691572
690,2020-10-09 02:00:00,10925.44,11104.64,10829,11050.64,48240.073237
691,2020-10-10 02:00:00,11050.64,11491,11050.51,11293.22,43648.036943
692,2020-10-11 02:00:00,11293.22,11445,11221,11369.02,29043.851339
693,2020-10-12 02:00:00,11369.02,11720.01,11172,11528.25,52825.28371
694,2020-10-13 02:00:00,11528.24,11557,11300,11420.56,42205.283709
695,2020-10-14 02:00:00,11420.57,11547.98,11280,11417.89,41415.106015
696,2020-10-15 02:00:00,11417.89,11617.34,11250.83,11505.12,48760.717679
697,2020-10-16 02:00:00,11505.13,11541.15,11200,11319.32,48797.749502
698,2020-10-17 02:00:00,11319.24,11402.42,11255,11360.2,22368.915241
699,2020-10-18 02:00:00,11360.31,11505,11346.22,11503.14,23284.041191
700,2020-10-19 02:00:00,11503.14,11823.99,11407.96,11751.47,47414.534692
701,2020-10-20 02:00:00,11751.46,12038.38,11677.59,11909.99,62134.750663
702,2020-10-21 02:00:00,11910,13217.68,11886.95,12780.96,114584.456767
703,2020-10-22 02:00:00,12780.75,13185,12678.08,12968.52,70038.824144
704,2020-10-23 02:00:00,12968.84,13027.69,12720.08,12923.07,50386.999841
705,2020-10-24 02:00:00,12923.06,13166.73,12870,13111.73,35952.20907
706,2020-10-25 02:00:00,13111.73,13350,12888,13028.83,38481.579504
707,2020-10-26 01:00:00,13029.64,13238.81,12765,13052.19,60951.672986
708,2020-10-27 01:00:00,13052.15,13789.29,13019.87,13636.17,80796.553996
709,2020-10-28 01:00:00,13636.16,13859.48,12888,13266.4,94440.561226
710,2020-10-29 01:00:00,13266.4,13642.91,12920.77,13455.7,74872.602132
711,2020-10-30 01:00:00,13455.69,13669.98,13115,13560.1,70657.778881
712,2020-10-31 01:00:00,13560.1,14100,13411.5,13791,67339.238515
713,2020-11-01 01:00:00,13791,13895,13603,13761.5,36285.648526
714,2020-11-02 01:00:00,13761.49,13830,13195.05,13549.37,64566.421908
715,2020-11-03 01:00:00,13549.63,14066.11,13284.99,14023.53,74115.630787
716,2020-11-04 01:00:00,14023.53,14259,13525,14144.01,93016.988262
717,2020-11-05 01:00:00,14144.01,15750,14093.56,15590.02,143741.522673
718,2020-11-06 01:00:00,15590.02,15960,15166,15579.92,122618.197695
719,2020-11-07 01:00:00,15579.93,15753.52,14344.22,14818.3,101431.206553
720,2020-11-08 01:00:00,14818.3,15650,14703.88,15475.1,65547.178574
721,2020-11-09 01:00:00,15475.1,15840,14805.54,15328.41,108976.334134
722,2020-11-10 01:00:00,15328.41,15460,15072.46,15297.21,61681.919606
723,2020-11-11 01:00:00,15297.21,15965,15272.68,15684.24,78469.746458
724,2020-11-12 01:00:00,15684.25,16340.7,15440.64,16291.86,102196.356592
725,2020-11-13 01:00:00,16291.85,16480,15952.35,16320.7,75691.881014
726,2020-11-14 01:00:00,16320.04,16326.99,15670,16070.45,59116.347179
727,2020-11-15 01:00:00,16069.56,16180,15774.72,15957,43596.841513
728,2020-11-16 01:00:00,15957,16880,15864,16713.57,81300.675924
729,2020-11-17 01:00:00,16713.08,17858.82,16538,17659.38,115221.403102
730,2020-11-18 01:00:00,17659.38,18476.93,17214.45,17776.12,149019.788134
731,2020-11-19 01:00:00,17777.75,18179.8,17335.65,17802.82,93009.561008
